Attrition,Age,Gender,Department,JobRole,JobLevel,MonthlyIncome,OverTime,JobSatisfaction,WorkLifeBalance,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,DistanceFromHome,AgeGroup,TenureGroup
1,41,Female,Sales,Sales Executive,2,5993,1,4,1,8,6,0,1,40-49,6-10 Years
0,49,Male,Research & Development,Research Scientist,2,5130,0,2,3,10,10,1,8,40-49,6-10 Years
1,37,Male,Research & Development,Laboratory Technician,1,2090,1,3,3,7,0,0,2,30-39,0-2 Years
0,33,Female,Research & Development,Research Scientist,1,2909,1,3,3,8,8,3,3,30-39,6-10 Years
0,27,Male,Research & Development,Laboratory Technician,1,3468,0,2,3,6,2,2,2,Under 30,0-2 Years
0,32,Male,Research & Development,Laboratory Technician,1,3068,0,4,2,8,7,3,2,30-39,6-10 Years
0,59,Female,Research & Development,Laboratory Technician,1,2670,1,1,2,12,1,0,3,50+,0-2 Years
0,30,Male,Research & Development,Laboratory Technician,1,2693,0,3,3,1,1,0,24,Under 30,0-2 Years
0,38,Male,Research & Development,Manufacturing Director,3,9526,0,3,3,10,9,1,23,30-39,6-10 Years
0,36,Male,Research & Development,Healthcare Representative,2,5237,0,3,2,17,7,7,27,30-39,6-10 Years
0,35,Male,Research & Development,Laboratory Technician,1,2426,0,2,3,6,5,0,16,30-39,3-5 Years
0,29,Female,Research & Development,Laboratory Technician,2,4193,1,3,3,10,9,0,15,Under 30,6-10 Years
0,31,Male,Research & Development,Research Scientist,1,2911,0,3,2,5,5,4,26,30-39,3-5 Years
0,34,Male,Research & Development,Laboratory Technician,1,2661,0,4,3,3,2,1,19,30-39,0-2 Years
1,28,Male,Research & Development,Laboratory Technician,1,2028,1,3,3,6,4,0,24,Under 30,3-5 Years
0,29,Female,Research & Development,Manufacturing Director,3,9980,0,1,3,10,10,8,21,Under 30,6-10 Years
0,32,Male,Research & Development,Research Scientist,1,3298,1,2,2,7,6,0,5,30-39,6-10 Years
0,22,Male,Research & Development,Laboratory Technician,1,2935,1,4,2,1,1,0,16,Under 30,0-2 Years
0,53,Female,Sales,Manager,4,15427,0,4,3,31,25,3,2,50+,10+ Years
0,38,Male,Research & Development,Research Scientist,1,3944,1,4,3,6,3,1,2,30-39,3-5 Years
0,24,Female,Research & Development,Manufacturing Director,2,4011,0,3,2,5,4,1,11,Under 30,3-5 Years
1,36,Male,Sales,Sales Representative,1,3407,0,1,3,10,5,0,9,30-39,3-5 Years
0,34,Female,Research & Development,Research Director,3,11994,0,2,3,13,12,2,7,30-39,10+ Years
0,21,Male,Research & Development,Research Scientist,1,1232,0,4,3,0,0,0,15,Under 30,0-2 Years
1,34,Male,Research & Development,Research Scientist,1,2960,0,1,3,8,4,1,6,30-39,3-5 Years
0,53,Female,Research & Development,Manager,5,19094,0,3,2,26,14,4,5,50+,10+ Years
1,32,Female,Research & Development,Research Scientist,1,3919,1,1,3,10,10,6,16,30-39,6-10 Years
0,42,Male,Sales,Sales Executive,2,6825,0,2,3,10,9,4,8,40-49,6-10 Years
0,44,Female,Research & Development,Healthcare Representative,3,10248,0,4,3,24,22,5,7,40-49,10+ Years
0,46,Female,Sales,Manager,5,18947,0,1,2,22,2,2,2,40-49,0-2 Years
0,33,Male,Research & Development,Laboratory Technician,1,2496,0,4,3,7,1,0,2,30-39,0-2 Years
0,44,Male,Research & Development,Healthcare Representative,2,6465,1,4,4,9,4,1,10,40-49,3-5 Years
0,30,Male,Research & Development,Laboratory Technician,1,2206,0,3,3,10,10,1,9,Under 30,6-10 Years
1,39,Male,Sales,Sales Representative,2,2086,0,4,4,19,1,0,5,30-39,0-2 Years
1,24,Male,Research & Development,Research Scientist,1,2293,1,4,2,6,2,2,1,Under 30,0-2 Years
0,43,Female,Research & Development,Research Scientist,1,2645,0,3,2,6,5,1,2,40-49,3-5 Years
1,50,Male,Sales,Sales Representative,1,2683,1,3,3,3,3,0,3,40-49,3-5 Years
0,35,Female,Sales,Sales Representative,1,2014,0,4,3,2,2,2,2,30-39,0-2 Years
0,36,Female,Research & Development,Research Scientist,1,3419,1,1,4,6,1,0,5,30-39,0-2 Years
0,33,Female,Sales,Sales Executive,2,5376,0,1,3,10,5,1,1,30-39,3-5 Years
0,35,Male,Research & Development,Laboratory Technician,1,1951,0,4,3,1,1,0,4,30-39,0-2 Years
0,27,Female,Research & Development,Laboratory Technician,1,2341,0,1,3,1,1,0,2,Under 30,0-2 Years
1,26,Male,Research & Development,Laboratory Technician,1,2293,0,3,2,1,1,0,25,Under 30,0-2 Years
0,27,Male,Sales,Sales Executive,3,8726,0,3,3,9,9,1,8,Under 30,6-10 Years
0,30,Female,Research & Development,Laboratory Technician,2,4011,0,4,3,12,12,3,1,Under 30,10+ Years
1,41,Female,Research & Development,Research Director,5,19545,0,3,3,23,22,15,12,40-49,10+ Years
0,34,Male,Sales,Sales Executive,2,4568,0,3,3,10,9,8,23,30-39,6-10 Years
0,37,Male,Research & Development,Research Scientist,1,3022,0,2,3,8,1,0,19,30-39,0-2 Years
0,46,Male,Sales,Sales Executive,2,5772,1,4,3,14,9,0,5,40-49,6-10 Years
0,35,Male,Research & Development,Laboratory Technician,1,2269,0,4,3,1,1,0,8,30-39,0-2 Years
1,48,Male,Research & Development,Laboratory Technician,3,5381,1,3,3,23,1,0,1,40-49,0-2 Years
1,28,Male,Research & Development,Laboratory Technician,1,3441,1,3,2,2,2,2,5,Under 30,0-2 Years
0,44,Female,Sales,Sales Executive,2,5454,1,1,2,9,4,1,1,40-49,3-5 Years
0,35,Male,Research & Development,Healthcare Representative,3,9884,1,1,3,10,4,2,11,30-39,3-5 Years
0,26,Female,Sales,Sales Executive,2,4157,1,4,2,5,2,0,23,Under 30,0-2 Years
